2026-01-09 17:35:55,835 | INFO | pages.discover_page | Found 7 numeric page links: [1, 2, 3, 4, 527, 528, 529]
2026-01-09 17:35:55,836 | INFO | pages.discover_page | Clicking last page number: 529
2026-01-09 17:35:56,278 | INFO | pages.discover_page | Clicked page number 529
2026-01-09 17:35:56,279 | INFO | pages.discover_page | Successfully clicked last page number: 529
2026-01-09 17:36:20,436 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:36:20,440 | INFO | test.lifecycle | === SCENARIO: User selects last page directly (known defect) ===
2026-01-09 17:36:20,440 | INFO | test.lifecycle | Browser launch
2026-01-09 17:36:28,283 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:36:28,289 | INFO | pages.discover_page | Page navigation
2026-01-09 17:36:34,675 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:36:35,286 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:36:38,706 | INFO | pages.discover_page | Found 14 total links, looking for page numbers
2026-01-09 17:36:39,821 | INFO | pages.discover_page | Found 7 numeric page links: [1, 2, 3, 4, 527, 528, 529]
2026-01-09 17:36:39,822 | INFO | pages.discover_page | Clicking last page number: 529
2026-01-09 17:36:40,192 | INFO | pages.discover_page | Clicked page number 529
2026-01-09 17:36:40,192 | INFO | pages.discover_page | Successfully clicked last page number: 529
2026-01-09 17:36:40,197 | ERROR | test.lifecycle | Test failure / exception occurred
2026-01-09 17:36:40,202 | ERROR | test.lifecycle | Scenario failed: User selects last page directly (known defect)
2026-01-09 17:36:40,480 | INFO | test.lifecycle | Added failed test result to report: User selects last page directly (known defect)
2026-01-09 17:36:40,488 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
2026-01-09 17:36:40,489 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:36:45,050 | INFO | test.lifecycle | Browser closed
2026-01-09 17:36:45,054 | INFO | test.lifecycle | All scenarios completed - Test execution finished
2026-01-09 17:36:45,054 | INFO | test.lifecycle | Total test results collected: 1
2026-01-09 17:36:45,056 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
2026-01-09 17:36:45,056 | INFO | test.lifecycle | Generated HTML report with 1 test results
2026-01-09 17:37:32,336 | INFO | test.lifecycle | Test execution start - Scenario heading
2026-01-09 17:37:32,339 | INFO | test.lifecycle | === SCENARIO: Verify Top Rated category filter works ===
2026-01-09 17:37:32,339 | INFO | test.lifecycle | Browser launch
2026-01-09 17:37:38,112 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:37:38,118 | INFO | pages.discover_page | Page navigation
2026-01-09 17:37:43,202 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:37:43,833 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:37:44,102 | INFO | step.verification | step_verify_results called
2026-01-09 17:37:49,546 | INFO | step.verification | Found 20 results
2026-01-09 17:37:49,547 | INFO | step.verification | About to call debug_year_values()
2026-01-09 17:37:49,703 | INFO | pages.discover_page | DEBUG - Start year: '1900', End year: '2025'
2026-01-09 17:37:49,704 | INFO | pages.discover_page | DEBUG - Same year allowed: False
2026-01-09 17:37:49,705 | INFO | step.verification | Finished calling debug_year_values()
2026-01-09 17:37:49,705 | INFO | test.lifecycle | Scenario passed: Verify Top Rated category filter works
2026-01-09 17:37:49,706 | INFO | test.lifecycle | Added passed test result to report: Verify Top Rated category filter works
2026-01-09 17:37:49,706 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:37:52,015 | INFO | test.lifecycle | Browser closed
2026-01-09 17:37:52,017 | INFO | test.lifecycle | === SCENARIO: Verify TV Shows type filter works ===
2026-01-09 17:37:52,018 | INFO | test.lifecycle | Browser launch
2026-01-09 17:37:58,135 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:37:58,137 | INFO | pages.discover_page | Page navigation
2026-01-09 17:38:04,223 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:38:04,832 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:38:05,301 | INFO | step.verification | step_verify_results called
2026-01-09 17:38:10,753 | INFO | step.verification | Found 20 results
2026-01-09 17:38:10,754 | INFO | step.verification | About to call debug_year_values()
2026-01-09 17:38:10,911 | INFO | pages.discover_page | DEBUG - Start year: '1900', End year: '2025'
2026-01-09 17:38:10,912 | INFO | pages.discover_page | DEBUG - Same year allowed: False
2026-01-09 17:38:10,912 | INFO | step.verification | Finished calling debug_year_values()
2026-01-09 17:38:10,913 | INFO | test.lifecycle | Scenario passed: Verify TV Shows type filter works
2026-01-09 17:38:10,914 | INFO | test.lifecycle | Added passed test result to report: Verify TV Shows type filter works
2026-01-09 17:38:10,914 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:38:13,317 | INFO | test.lifecycle | Browser closed
2026-01-09 17:38:13,319 | INFO | test.lifecycle | === SCENARIO: Access category via direct URL (known defect) ===
2026-01-09 17:38:13,319 | INFO | test.lifecycle | Browser launch
2026-01-09 17:38:19,311 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:38:21,150 | INFO | step.verification | step_verify_results called
2026-01-09 17:38:51,762 | INFO | step.verification | Found 0 results
2026-01-09 17:38:51,765 | ERROR | test.lifecycle | Test failure / exception occurred
2026-01-09 17:38:51,765 | ERROR | test.lifecycle | Scenario failed: Access category via direct URL (known defect)
2026-01-09 17:38:51,948 | INFO | test.lifecycle | Added failed test result to report: Access category via direct URL (known defect)
2026-01-09 17:38:51,950 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
2026-01-09 17:38:51,951 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:38:54,311 | INFO | test.lifecycle | Browser closed
2026-01-09 17:38:54,314 | INFO | test.lifecycle | === SCENARIO: Verify year range allows same start and end year selection ===
2026-01-09 17:38:54,314 | INFO | test.lifecycle | Browser launch
2026-01-09 17:38:59,972 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:38:59,975 | INFO | pages.discover_page | Page navigation
2026-01-09 17:39:04,991 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:39:05,632 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:39:06,363 | INFO | pages.discover_page | Setting start year to 1900
2026-01-09 17:39:07,331 | INFO | pages.discover_page | Start year 1900 set successfully
2026-01-09 17:39:08,332 | INFO | pages.discover_page | Attempting to set end year to 1900
2026-01-09 17:39:08,904 | INFO | pages.discover_page | End year 1900 set successfully
2026-01-09 17:39:09,989 | INFO | pages.discover_page | FINAL RESULT - Start: '1900', End: '2025', Same: False
2026-01-09 17:39:09,992 | INFO | step.verification | step_verify_results called
2026-01-09 17:39:15,315 | INFO | step.verification | Found 20 results
2026-01-09 17:39:15,316 | INFO | step.verification | Verifying year range filtering worked correctly
2026-01-09 17:39:15,470 | INFO | pages.discover_page | Year filter verification - Expected: 1900-1900, Actual: 1900-2025
2026-01-09 17:39:15,492 | ERROR | test.lifecycle | Test failure / exception occurred
2026-01-09 17:39:15,493 | ERROR | test.lifecycle | Scenario failed: Verify year range allows same start and end year selection
2026-01-09 17:39:15,839 | INFO | test.lifecycle | Added failed test result to report: Verify year range allows same start and end year selection
2026-01-09 17:39:15,840 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
2026-01-09 17:39:15,841 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:39:18,184 | INFO | test.lifecycle | Browser closed
2026-01-09 17:39:18,189 | INFO | test.lifecycle | === SCENARIO: User navigates to next page of results ===
2026-01-09 17:39:18,189 | INFO | test.lifecycle | Browser launch
2026-01-09 17:39:23,199 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:39:23,201 | INFO | pages.discover_page | Page navigation
2026-01-09 17:39:30,217 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:39:30,906 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:39:32,262 | INFO | pages.discover_page | Clicked Next page button
2026-01-09 17:39:38,629 | INFO | test.lifecycle | Scenario passed: User navigates to next page of results
2026-01-09 17:39:38,630 | INFO | test.lifecycle | Added passed test result to report: User navigates to next page of results
2026-01-09 17:39:38,630 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:39:41,068 | INFO | test.lifecycle | Browser closed
2026-01-09 17:39:41,070 | INFO | test.lifecycle | === SCENARIO: User navigates back to previous page ===
2026-01-09 17:39:41,071 | INFO | test.lifecycle | Browser launch
2026-01-09 17:39:47,702 | INFO | test.lifecycle | Browser launched successfully
